sub_sector_categories,sic
Arts,90.01
Arts,90.02
Arts,90.03
Arts,90.04
"Film, TV and music",59.11
"Film, TV and music",59.12
"Film, TV and music",59.13
"Film, TV and music",59.14
"Film, TV and music",60.2
"Film, TV and music",59.2
"Film, TV and music",18.2
"Film, TV and music",32.2
"Film, TV and music",47.63
Radio,60.1
Photography,74.2
Crafts,32.12
Museums and galleries,91.02
Library and archives,91.01
Cultural education,85.52
Heritage,91.03
